plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
plate2_combined_readcount,csv,0
SOTE1000-20191125SNT-95_S95_L001,HLA-A,707
SOTE1000-20191125SNT-95_S95_L001,HLA-B,916
SOTE1000-20191125SNT-95_S95_L001,HLA-C,849
SOTE1000-20191125SNT-95_S95_L001,HLA-DPA1,75
SOTE1000-20191125SNT-95_S95_L001,HLA-DPB1,536
SOTE1000-20191125SNT-95_S95_L001,HLA-DQA1,64323
SOTE1000-20191125SNT-95_S95_L001,HLA-DQB1,54345
SOTE1000-20191125SNT-95_S95_L001,HLA-DRB1,63120
SOTE1000-20191125SNT-95_S95_L001,HLA-DRB3,9728
SOTE1000-20191125SNT-95_S95_L001,HLA-DRB4,3517
SOTE1000-20191125SNT-95_S95_L001,HLA-DRB5,41283
SOTE1000-20191125SNT-95_S95_L001,unmatched,45529
SOTE1004-20191125SNT-42_S42_L001,HLA-A,1180
SOTE1004-20191125SNT-42_S42_L001,HLA-B,2148
SOTE1004-20191125SNT-42_S42_L001,HLA-C,1313
SOTE1004-20191125SNT-42_S42_L001,HLA-DPA1,114
SOTE1004-20191125SNT-42_S42_L001,HLA-DPB1,628
SOTE1004-20191125SNT-42_S42_L001,HLA-DQA1,91147
SOTE1004-20191125SNT-42_S42_L001,HLA-DQB1,76698
SOTE1004-20191125SNT-42_S42_L001,HLA-DRB1,77878
SOTE1004-20191125SNT-42_S42_L001,HLA-DRB3,11911
SOTE1004-20191125SNT-42_S42_L001,HLA-DRB4,696
SOTE1004-20191125SNT-42_S42_L001,HLA-DRB5,108
SOTE1004-20191125SNT-42_S42_L001,unmatched,65336
SOTE1010-20191125SNT-82_S82_L001,HLA-A,126
SOTE1010-20191125SNT-82_S82_L001,HLA-B,443
SOTE1010-20191125SNT-82_S82_L001,HLA-C,256
