plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
plate1_combined_readcount,csv,0
SOTE1-20191119SVH-97_S1_L001,HLA-A,110
SOTE1-20191119SVH-97_S1_L001,HLA-B,170
SOTE1-20191119SVH-97_S1_L001,HLA-C,139
SOTE1-20191119SVH-97_S1_L001,HLA-DPA1,182
SOTE1-20191119SVH-97_S1_L001,HLA-DPB1,145
SOTE1-20191119SVH-97_S1_L001,HLA-DQA1,32761
SOTE1-20191119SVH-97_S1_L001,HLA-DQB1,35806
SOTE1-20191119SVH-97_S1_L001,HLA-DRB1,44991
SOTE1-20191119SVH-97_S1_L001,HLA-DRB3,39
SOTE1-20191119SVH-97_S1_L001,HLA-DRB4,26000
SOTE1-20191119SVH-97_S1_L001,HLA-DRB5,21467
SOTE1-20191119SVH-97_S1_L001,unmatched,34922
SOTE133-20191119SVH-141_S45_L001,HLA-A,103
SOTE133-20191119SVH-141_S45_L001,HLA-B,173
SOTE133-20191119SVH-141_S45_L001,HLA-C,302
SOTE133-20191119SVH-141_S45_L001,HLA-DPA1,187
SOTE133-20191119SVH-141_S45_L001,HLA-DPB1,339
SOTE133-20191119SVH-141_S45_L001,HLA-DQA1,47945
SOTE133-20191119SVH-141_S45_L001,HLA-DQB1,42399
SOTE133-20191119SVH-141_S45_L001,HLA-DRB1,45394
SOTE133-20191119SVH-141_S45_L001,HLA-DRB3,10623
SOTE133-20191119SVH-141_S45_L001,HLA-DRB4,18778
SOTE133-20191119SVH-141_S45_L001,HLA-DRB5,61
SOTE133-20191119SVH-141_S45_L001,unmatched,53203
SOTE136-20191119SVH-142_S46_L001,HLA-A,100
SOTE136-20191119SVH-142_S46_L001,HLA-B,191
SOTE136-20191119SVH-142_S46_L001,HLA-C,180
SOTE136-20191119SVH-142_S46_L001,HLA-DPA1,227
SOTE136-20191119SVH-142_S46_L001,HLA-DPB1,161
SOTE136-20191119SVH-142_S46_L001,HLA-DQA1,36215
SOTE136-20191119SVH-142_S46_L001,HLA-DQB1,36795
SOTE136-20191119SVH-142_S46_L001,HLA-DRB1,45823
SOTE136-20191119SVH-142_S46_L001,HLA-DRB3,898
SOTE136-20191119SVH-142_S46_L001,HLA-DRB4,16586
