ID1             ID2                           P3              P4              P5              P6              P7              P8              P9             P10       OR3       OR4       OR5       OR6       OR7       OR8       OR9      OR10
DQA1*01:03      DQB1*02:02            1.0000      0.0819      0.2454      0.0211      0.0012      0.6397      0.7176      0.2450      0.69      0.46      3.47      2.34      0.20      1.61      0.66      0.45
DQA1*01:03      DQB1*ID1              1.0000      0.0131      1.0000      0.0099      0.6283      0.1326      0.7171      0.1516      0.83      0.33      1.11      0.44      0.75      0.37      1.33      0.54
DQA1*01:03      DRB1*07:01            0.6423      0.1619      0.5801      0.0027    5.97e-04      1.0000      0.3055      0.1954      0.49      0.54      2.39      2.61      0.21      1.29      0.39      0.43
DQA1*01:03      DRB1*11:01            1.0000      0.0282      0.5638      0.0036      0.5554      0.2494      1.0000      0.1946      0.61      0.41      0.39      0.26      1.57      0.16      0.67      0.45
DQA1*01:03      DRB5*01:01            0.4839      0.0162      0.0549      0.5472      0.0199      0.1807      0.6839      0.0420      5.34      0.37     18.53      1.29      0.29      6.90      1.39      0.10
DQA1*01:03      DRB5*01:02            1.0000      0.0617      1.0000      1.0000      1.0000      0.4042      0.1087      0.0021      0.82      0.47      0.76      0.44      1.08      0.36     26.05     15.01
DQA1*02:01      DQB1*02:02            1.0000      0.0690      1.0000      1.0000      1.0000      0.0019    2.52e-15    1.62e-17      1.41      2.53      1.14      2.05      1.24      2.88       291       521
DQA1*02:01      DQB1*ID1              0.0749      0.0170      1.0000      0.1332    3.67e-04      0.3369      0.0935      0.0092      3.35      2.30      0.84      0.58      3.97      1.94      0.42      0.29
DQA1*02:01      DRB1*07:01            1.0000      1.0000      1.0000      1.0000      1.0000    8.66e-04    1.40e-26    1.80e-29      1.36      2.05      1.36      2.05      1.00      2.79      8325     12485
DQA1*02:01      DRB1*11:01            0.5622      0.0015      0.1222      0.0324    6.15e-05      1.0000      1.0000      1.0000      2.79      2.78      0.29      0.29      9.69      0.80      1.06      1.05
DQA1*02:01      DRB5*01:01            0.6539    6.66e-04      1.0000      0.1049      0.4811      0.0791      0.2622      0.7357      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DQA1*02:01      DRB5*01:02            1.0000    4.28e-04      0.1741      1.0000      0.1577      1.0000      1.0000      0.3267      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DQB1*02:02      DRB1*07:01            1.0000      1.0000      1.0000      0.0690      1.0000      0.0019    2.52e-15    1.62e-17      1.14      2.05      1.41      2.53      0.81      2.88       291       521
DQB1*02:02      DRB1*11:01            0.3011      0.0245      1.0000      0.0103    1.09e-04      1.0000      1.0000      0.1997      5.67      2.25      0.70      0.28      8.12      1.57      0.77      0.31
DQB1*02:02      DRB5*01:01            1.0000      0.0035      1.0000      0.1190      0.6154      0.3345      0.3786      1.0000      1.40      2.89      1.00      2.07      1.40      2.89      0.56      1.15
DQB1*02:02      DRB5*01:02            1.0000      0.0020      0.1652      0.6591      0.1501      0.5427      1.0000      0.1877      0.60      2.86      0.13      0.61      4.71      0.36      0.78      3.73
DQB1*ID1        DRB1*07:01            1.0000      0.1332      0.0749      0.0170    3.67e-04      0.3369      0.0935      0.0092      0.84      0.58      3.35      2.30      0.25      1.94      0.42      0.29
DQB1*ID1        DRB1*11:01            1.0000      0.2647      0.0695      0.3792      0.6486      0.0043      0.0156    7.12e-07      0.60      0.68      0.35      0.39      1.73      0.24      9.88     11.20
DQB1*ID1        DRB5*01:01            0.6851      0.0495      0.4172      0.3750      0.0274      1.0000      0.5479      0.2794      0.66      0.52      1.94      1.53      0.34      1.02      0.67      0.53
DQB1*ID1        DRB5*01:02            1.0000      0.0325      1.0000      0.3792      1.0000      0.5011      1.0000      1.0000      0.60      0.52      0.45      0.39      1.32      0.24      0.92      0.80
DRB1*07:01      DRB5*01:01            0.6539    6.66e-04      1.0000      0.1049      0.4811      0.0791      0.2622      0.7357      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DRB1*07:01      DRB5*01:02            1.0000    4.28e-04      0.1741      1.0000      0.1577      1.0000      1.0000      0.3267      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DRB1*11:01      DRB5*01:01            0.5996      0.0058      0.4216      0.3043      0.0041      1.0000      1.0000      0.7374      0.52      0.26      3.27      1.61      0.16      0.84      1.56      0.77
DRB1*11:01      DRB5*01:02            1.0000      0.0047      1.0000      0.2373      1.0000      1.0000      1.0000      1.0000      1.22      0.27      1.55      0.35      0.79      0.42      5.24      1.17
