ID1             ID2                           P3              P4              P5              P6              P7              P8              P9             P10       OR3       OR4       OR5       OR6       OR7       OR8       OR9      OR10
DQA1*02:01:01   DQB1*02:02:01             NA      0.0950      0.9579          NA          NA      0.0024    2.80e-13    1.71e-20      1.41      2.53      1.14      2.05      1.24      2.88       291       521
DQA1*02:01:01   DRB1*07:01:01             NA          NA          NA          NA         nan    8.40e-04    6.93e-21    6.52e-31      1.36      2.05      1.36      2.05      1.00      2.79      8325     12485
DQA1*02:01:01   DRB1*11:01:01         0.6041      0.0014      0.2097      0.0534    3.47e-04      0.9793      0.9098      0.8797      3.18      2.85      0.29      0.26     11.04      0.82      1.51      1.35
DQA1*02:01:01   DRB5*01:01:01         0.7138    6.91e-04      0.9784      0.1256      0.6127      0.1495      0.2778      0.7856      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DQA1*02:01:01   DRB5*01:02            0.6084    5.14e-04      0.3398      0.8946      0.2101      0.8147      0.8410      0.7169      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DQB1*02:02:01   DRB1*07:01:01         0.9579          NA          NA      0.0950          NA      0.0024    2.80e-13    1.71e-20      1.14      2.05      1.41      2.53      0.81      2.88       291       521
DQB1*02:02:01   DRB1*11:01:01         0.6949      0.0212      0.6321      0.0250    5.49e-04      0.6947      0.7143      0.3137      6.14      2.30      0.70      0.26      8.80      1.61      1.01      0.38
DQB1*02:02:01   DRB5*01:01:01         0.9372      0.0039      0.6757      0.1300      0.6652      0.4221      0.4701      0.7111      1.40      2.89      1.00      2.07      1.40      2.89      0.56      1.15
DQB1*02:02:01   DRB5*01:02            0.6084      0.0029      0.3224      0.8141      0.1956      0.7662      0.6484      0.4034      0.60      2.86      0.13      0.61      4.71      0.36      0.78      3.73
DRB1*07:01:01   DRB5*01:01:01         0.7138    6.91e-04      0.9784      0.1256      0.6127      0.1495      0.2778      0.7856      1.94      3.04      1.37      2.14      1.42      4.16      0.47      0.73
DRB1*07:01:01   DRB5*01:02            0.6084    5.14e-04      0.3398      0.8946      0.2101      0.8147      0.8410      0.7169      0.60      2.95      0.14      0.67      4.41      0.40      0.48      2.39
DRB1*11:01:01   DRB5*01:01:01         0.9531      0.0176      0.9478      0.2967      0.0065      0.7460      0.7919      0.9146      0.52      0.25      3.51      1.65      0.15      0.86      2.03      0.95
DRB1*11:01:01   DRB5*01:02            0.2703      0.0153      0.3279      0.3732      0.5632      0.8919      0.0244      0.6116      1.22      0.27      1.59      0.35      0.77      0.43      6.48      1.44
