ID1,ID2,P7,P8,P9,P10
DQA1*01:03:01,DQB1*02:02:01,0.0012,0.6397,0.7176,0.2450
DQA1*01:03:01,DQB1*ID1,0.6283,0.1326,0.7171,0.1516
DQA1*01:03:01,DRB1*07:01:01,5.97e-04,1.0000,0.3055,0.1954
DQA1*01:03:01,DRB1*11:01:01,0.5371,0.2514,1.0000,0.4060
DQA1*01:03:01,DRB5*01:01:01,0.0199,0.1807,0.6839,0.0420
DQA1*01:03:01,DRB5*01:02,1.0000,0.4042,0.1087,0.0021
DQA1*02:01:01,DQB1*02:02:01,1.0000,0.0019,2.52e-15,1.62e-17
DQA1*02:01:01,DQB1*ID1,3.67e-04,0.3369,0.0935,0.0092
DQA1*02:01:01,DRB1*07:01:01,1.0000,8.66e-04,1.40e-26,1.80e-29
DQA1*02:01:01,DRB1*11:01:01,1.28e-04,1.0000,1.0000,0.7684
DQA1*02:01:01,DRB5*01:01:01,0.4811,0.0791,0.2622,0.7357
DQA1*02:01:01,DRB5*01:02,0.1577,1.0000,1.0000,0.3267
DQB1*02:02:01,DRB1*07:01:01,1.0000,0.0019,2.52e-15,1.62e-17
DQB1*02:02:01,DRB1*11:01:01,2.49e-04,1.0000,1.0000,0.3081
DQB1*02:02:01,DRB5*01:01:01,0.6154,0.3345,0.3786,1.0000
DQB1*02:02:01,DRB5*01:02,0.1501,0.5427,1.0000,0.1877
DQB1*ID1,DRB1*07:01:01,3.67e-04,0.3369,0.0935,0.0092
DQB1*ID1,DRB1*11:01:01,0.6549,0.0080,0.0531,2.75e-05
DQB1*ID1,DRB5*01:01:01,0.0274,1.0000,0.5479,0.2794
DQB1*ID1,DRB5*01:02,1.0000,0.5011,1.0000,1.0000
DRB1*07:01:01,DRB5*01:01:01,0.4811,0.0791,0.2622,0.7357
DRB1*07:01:01,DRB5*01:02,0.1577,1.0000,1.0000,0.3267
DRB1*11:01:01,DRB5*01:01:01,0.0033,1.0000,0.5408,1.0000
DRB1*11:01:01,DRB5*01:02,1.0000,1.0000,1.0000,1.0000
